observableId	simulationConditionId	measurement	time
observable_predator	condition1	4.6280594	0.0
observable_predator	condition1	4.300225886613266	0.05
observable_predator	condition1	3.987645472097732	0.1
observable_predator	condition1	3.691970079843459	0.15
observable_predator	condition1	3.4139529441848775	0.2
observable_predator	condition1	3.1537321749389475	0.25
observable_predator	condition1	2.911031813612645	0.3
observable_predator	condition1	2.6853038116390526	0.35
observable_predator	condition1	2.4758280211000576	0.4
observable_predator	condition1	2.281782420001796	0.45
observable_predator	condition1	2.1022922431613247	0.5
observable_predator	condition1	1.9364641333175112	0.55
observable_predator	condition1	1.7834096348752622	0.6
observable_predator	condition1	1.6422610976277683	0.65
observable_predator	condition1	1.5121821428056568	0.7
observable_predator	condition1	1.3923742695276744	0.75
observable_predator	condition1	1.2820806849813517	0.8
observable_predator	condition1	1.180588176657874	0.85
observable_predator	condition1	1.0872275977224806	0.9
observable_predator	condition1	1.0013733827229445	0.95
observable_predator	condition1	0.9224424008225077	1.0
observable_predator	condition1	0.8498923674286857	1.05
observable_predator	condition1	0.7832199752581732	1.1
observable_predator	condition1	0.7219588617967477	1.15
observable_predator	condition1	0.6656774979186464	1.2
observable_predator	condition1	0.6139770589402677	1.25
observable_predator	condition1	0.566489321207788	1.3
observable_predator	condition1	0.5228746100272466	1.35
observable_predator	condition1	0.48281982806634793	1.4
observable_predator	condition1	0.4460365702349131	1.45
observable_predator	condition1	0.4122593371052646	1.5
observable_predator	condition1	0.38124383773299403	1.55
observable_predator	condition1	0.35276541516977705	1.6
observable_predator	condition1	0.3266175567358269	1.65
observable_predator	condition1	0.30261049841444776	1.7
observable_predator	condition1	0.28056994734510754	1.75
observable_predator	condition1	0.26033587523236534	1.8
observable_predator	condition1	0.2417613978970613	1.85
observable_predator	condition1	0.22471175813024444	1.9
observable_predator	condition1	0.20906336635503003	1.95
observable_predator	condition1	0.19470291477590426	2.0
observable_predator	condition1	0.18152657934190103	2.05
observable_predator	condition1	0.16943926735643366	2.1
observable_predator	condition1	0.15835392614430177	2.15
observable_predator	condition1	0.1481909258464011	2.2
observable_predator	condition1	0.13887747726448482	2.25
observable_predator	condition1	0.13034710078763986	2.3
observable_predator	condition1	0.12253915817980185	2.35
observable_predator	condition1	0.11539841078775304	2.4
observable_predator	condition1	0.1088746226749247	2.45
observable_predator	condition1	0.10292221742826813	2.5
observable_predator	condition1	0.09749995590811479	2.55
observable_predator	condition1	0.09257065716622077	2.6
observable_predator	condition1	0.08810096588884313	2.65
observable_predator	condition1	0.08406114081305298	2.7
observable_predator	condition1	0.08042488866246036	2.75
observable_predator	condition1	0.07716924225506193	2.8
observable_predator	condition1	0.07427446686140791	2.85
observable_predator	condition1	0.07172402121339844	2.9
observable_predator	condition1	0.0695045696296416	2.95
observable_predator	condition1	0.06760604119046283	3.0
observable_predator	condition1	0.06602176720171199	3.05
observable_predator	condition1	0.0647486937703025	3.1
observable_predator	condition1	0.06378768533470328	3.15
observable_predator	condition1	0.06314396059537494	3.2
observable_predator	condition1	0.06282766443301166	3.25
observable_predator	condition1	0.06285463358019154	3.3
observable_predator	condition1	0.06324741712698555	3.35
observable_predator	condition1	0.0640365872996984	3.4
observable_predator	condition1	0.0652624799160326	3.45
observable_predator	condition1	0.06697749033812833	3.5
observable_predator	condition1	0.06924906552557869	3.55
observable_predator	condition1	0.07216369047287942	3.6
observable_predator	condition1	0.0758321935848257	3.65
observable_predator	condition1	0.08039686714018893	3.7
observable_predator	condition1	0.08604104489980494	3.75
observable_predator	condition1	0.0930021573844266	3.8
observable_predator	condition1	0.10158956516719143	3.85
observable_predator	condition1	0.11220918566811922	3.9
observable_predator	condition1	0.1253976454236051	3.95
observable_predator	condition1	0.14186999327164587	4.0
observable_predator	condition1	0.162586741168248	4.05
observable_predator	condition1	0.18884823379974766	4.1
observable_predator	condition1	0.22242778425589388	4.15
observable_predator	condition1	0.2657587551980369	4.2
observable_predator	condition1	0.32219494807261606	4.25
observable_predator	condition1	0.3963659135414763	4.3
observable_predator	condition1	0.49464384728630134	4.35
observable_predator	condition1	0.6257149853271863	4.4
observable_predator	condition1	0.801182180468827	4.45
observable_predator	condition1	1.035977306656184	4.5
observable_predator	condition1	1.3480863306908946	4.55
observable_predator	condition1	1.7566911528976763	4.6
observable_predator	condition1	2.277525108393355	4.65
observable_predator	condition1	2.91468274538227	4.7
observable_predator	condition1	3.650321674622023	4.75
observable_predator	condition1	4.437641220929748	4.8
observable_predator	condition1	5.204867640907481	4.85
observable_predator	condition1	5.873226454590718	4.9
observable_predator	condition1	6.380864933091543	4.95
observable_predator	condition1	6.698671909553976	5.0
observable_predator	condition1	6.830701985772332	5.05
observable_predator	condition1	6.80343692286252	5.1
observable_predator	condition1	6.652720554812044	5.15
observable_predator	condition1	6.414164230912644	5.2
observable_predator	condition1	6.118233065292012	5.25
observable_predator	condition1	5.788784266820221	5.3
observable_predator	condition1	5.443450497497282	5.35
observable_predator	condition1	5.094728905611646	5.4
observable_predator	condition1	4.751169604368604	5.45
observable_predator	condition1	4.418412538405229	5.5
observable_predator	condition1	4.100006640512476	5.55
observable_predator	condition1	3.798024302193101	5.6
observable_predator	condition1	3.513509133047651	5.65
observable_predator	condition1	3.246796993928805	5.7
observable_predator	condition1	2.9977441251714967	5.75
observable_predator	condition1	2.765888431237374	5.8
observable_predator	condition1	2.550563174681294	5.85
observable_predator	condition1	2.350976914827097	5.9
observable_predator	condition1	2.16626952295363	5.95
observable_predator	condition1	1.9955512263267634	6.0
observable_predator	condition1	1.8379295901713997	6.05
observable_predator	condition1	1.692527894397465	6.1
observable_predator	condition1	1.5584973900892103	6.15
observable_predator	condition1	1.4350251581811038	6.2
observable_predator	condition1	1.321338854711166	6.25
observable_predator	condition1	1.216709219005708	6.3
observable_predator	condition1	1.1204510090777013	6.35
observable_predator	condition1	1.031922832462836	6.4
observable_predator	condition1	0.9505262121326775	6.45
observable_predator	condition1	0.8757041378664479	6.5
observable_predator	condition1	0.806939284177807	6.55
observable_predator	condition1	0.7437520263217642	6.6
observable_predator	condition1	0.6856983498394371	6.65
observable_predator	condition1	0.6323677222733796	6.7
observable_predator	condition1	0.5833809743759282	6.75
observable_predator	condition1	0.5383882294005103	6.8
observable_predator	condition1	0.4970668981982719	6.85
observable_predator	condition1	0.4591197657124538	6.9
observable_predator	condition1	0.42427315661152676	6.95
observable_predator	condition1	0.39227521806426713	7.0
observable_predator	condition1	0.362894297640825	7.05
observable_predator	condition1	0.33591741152665755	7.1
observable_predator	condition1	0.311148829367917	7.15
observable_predator	condition1	0.28840875075202826	7.2
observable_predator	condition1	0.26753206223982046	7.25
observable_predator	condition1	0.24836719984465122	7.3
observable_predator	condition1	0.2307750915172673	7.35
observable_predator	condition1	0.21462816714684796	7.4
observable_predator	condition1	0.19980945899112465	7.45
observable_predator	condition1	0.18621176944264198	7.5
observable_predator	condition1	0.17373689301349912	7.55
observable_predator	condition1	0.1622949146938585	7.6
observable_predator	condition1	0.15180356389919128	7.65
observable_predator	condition1	0.14218761088084708	7.7
observable_predator	condition1	0.1333783284392293	7.75
observable_predator	condition1	0.12531299868155465	7.8
observable_predator	condition1	0.11793445337260293	7.85
observable_predator	condition1	0.1111906720692376	7.9
observable_predator	condition1	0.10503441607343823	7.95
observable_predator	condition1	0.0994228913927929	8.0
observable_predator	condition1	0.09431746510023026	8.05
observable_predator	condition1	0.0896834108467794	8.1
observable_predator	condition1	0.08548968437531491	8.15
observable_predator	condition1	0.08170875088962948	8.2
observable_predator	condition1	0.07831644063221206	8.25
